"" "ensembl_gene_id" "entrezgene_id"
"469" "ENSG00000282435" NA
"470" "ENSG00000224554" NA
"471" "ENSG00000274402" 3804
"472" "ENSG00000204252" 3111
"473" "ENSG00000282045" NA
"474" "ENSG00000263990" NA
"475" "ENSG00000108651" 55813
"476" "ENSG00000267133" NA
"477" "ENSG00000092203" 9878
"478" "ENSG00000277833" 3802
"479" "ENSG00000277833" 112267881
"480" "ENSG00000079805" 1785
"481" "ENSG00000282661" NA
"482" "ENSG00000253959" NA
"483" "ENSG00000253428" NA
"484" "ENSG00000255481" NA
"485" "ENSG00000260246" NA
"486" "ENSG00000267204" NA
"487" "ENSG00000262980" NA
"488" "ENSG00000134184" 2944
"489" "ENSG00000234895" NA
"490" "ENSG00000282439" NA
"491" "ENSG00000258476" NA
"492" "ENSG00000253686" NA
"493" "ENSG00000282117" NA
"494" "ENSG00000281396" NA
"495" "ENSG00000282652" NA
"496" "ENSG00000282016" NA
"497" "ENSG00000276416" 57578
"498" "ENSG00000173976" 84839
"499" "ENSG00000282161" NA
"500" "ENSG00000261467" NA
"501" "ENSG00000255421" NA
"502" "ENSG00000255081" NA
"503" "ENSG00000166634" 89777
"504" "ENSG00000184502" 2520
"505" "ENSG00000123472" 64756
"506" "ENSG00000248447" NA
"507" "ENSG00000198382" 7405
"508" "ENSG00000287003" NA
"509" "ENSG00000248998" NA
"510" "ENSG00000250895" NA
"511" "ENSG00000234259" NA
"512" "ENSG00000282808" NA
"513" "ENSG00000282230" 8754
"514" "ENSG00000282055" NA
"515" "ENSG00000251293" NA
"516" "ENSG00000287599" NA
"517" "ENSG00000261036" NA
"518" "ENSG00000233456" NA
"519" "ENSG00000233610" NA
"520" "ENSG00000073670" 4185
"521" "ENSG00000276084" 115653
"522" "ENSG00000139679" 10161
"523" "ENSG00000254211" NA
"524" "ENSG00000184838" 51334
"525" "ENSG00000126432" 25824
"526" "ENSG00000167721" 55720
"527" "ENSG00000223793" 3117
"528" "ENSG00000223793" 3118
"529" "ENSG00000234730" NA
"530" "ENSG00000237527" NA
"531" "ENSG00000276572" 115653
"532" "ENSG00000124678" 6954
"533" "ENSG00000234745" 3106
"534" "ENSG00000238265" NA
"535" "ENSG00000248458" NA
"536" "ENSG00000146809" 142685
"537" "ENSG00000270741" NA
"538" "ENSG00000105369" 973
"539" "ENSG00000196263" 57573
"540" "ENSG00000238086" NA
"541" "ENSG00000228813" 3120
"542" "ENSG00000177197" NA
"543" "ENSG00000277684" NA
"544" "ENSG00000115271" 25801
"545" "ENSG00000274929" NA
"546" "ENSG00000153487" 3621
"547" "ENSG00000165819" 56339
"548" "ENSG00000240973" 100506489
"549" "ENSG00000113594" 3977
"550" "ENSG00000273909" NA
"551" "ENSG00000243345" NA
"552" "ENSG00000259123" NA
"553" "ENSG00000253826" NA
"554" "ENSG00000110651" 975
"555" "ENSG00000258831" NA
"556" "ENSG00000224777" NA
"557" "ENSG00000258631" NA
"558" "ENSG00000270921" NA
"559" "ENSG00000258754" NA
"560" "ENSG00000254468" NA
"561" "ENSG00000258585" NA
"562" "ENSG00000233151" 1589
"563" "ENSG00000251204" NA
"564" "ENSG00000182308" 285429
"565" "ENSG00000254832" NA
"566" "ENSG00000134905" 79587
"567" "ENSG00000234429" NA
"568" "ENSG00000255534" NA
"569" "ENSG00000272862" NA
"570" "ENSG00000253270" NA
"571" "ENSG00000231722" NA
"572" "ENSG00000175595" 2072
"573" "ENSG00000167720" 63826
"574" "ENSG00000288010" NA
"575" "ENSG00000147408" 55790
"576" "ENSG00000258997" NA
"577" "ENSG00000250145" NA
"578" "ENSG00000213607" NA
"579" "ENSG00000110422" 10114
"580" "ENSG00000282233" NA
"581" "ENSG00000285085" NA
"582" "ENSG00000171611" 171558
"583" "ENSG00000275658" 3804
"584" "ENSG00000170271" 10826
"585" "ENSG00000231726" NA
"586" "ENSG00000256448" NA
"587" "ENSG00000258844" NA
"588" "ENSG00000255507" NA
